Sequence,Series,Start,Duration,Amplitude,Smooth,Spikes
30,2,200,300,0.3364722366212129,False,3
30,3,200,200,0.8329091229351039,True,1
30,4,200,600,0.8329091229351039,True,3
31,1,200,300,0.3364722366212129,False,3
31,2,200,200,0.33156019226019234,True,1
31,3,200,20,0.8329091229351039,False,1
31,4,0,200,0.8329091229351039,False,1
32,1,200,200,0.33156019226019234,True,1
32,2,0,200,0.3364722366212129,False,1
32,3,200,400,0.8329091229351039,False,1
32,4,200,300,0.8329091229351039,False,3
33,1,200,200,0.3364722366212129,True,1
33,2,0,80,0.3364722366212129,False,1
33,3,200,200,0.8329091229351039,False,1
33,4,200,60,0.8329091229351039,False,3
34,1,200,200,0.3364722366212129,True,1
34,2,0,100,0.3364722366212129,False,1
34,3,0,300,0.8329091229351039,False,3
34,4,0,400,0.8329091229351039,False,1
35,1,0,400,0.3364722366212129,False,1
35,2,200,200,0.3364722366212129,True,1
35,3,200,60,0.8329091229351039,False,3
35,4,0,200,0.8279970785740834,True,1
36,1,0,300,0.3364722366212129,False,3
36,2,200,100,0.3364722366212129,False,1
36,3,0,600,0.8329091229351039,True,3
36,4,200,200,0.8329091229351039,True,1
37,1,0,300,0.3364722366212129,False,3
37,2,200,100,0.3364722366212129,False,1
37,3,0,600,0.8279970785740834,True,3
37,4,200,200,0.8279970785740834,True,1
38,1,0,100,0.3364722366212129,False,1
38,2,0,400,0.3364722366212129,False,1
38,3,200,100,0.8329091229351039,False,1
38,4,200,400,0.8329091229351039,False,1
39,1,0,400,0.3364722366212129,False,1
39,2,200,400,0.3364722366212129,False,1
39,3,0,400,0.8329091229351039,False,1
39,4,200,400,0.8329091229351039,False,1
40,1,0,400,0.3364722366212129,False,1
40,2,200,300,0.3364722366212129,False,3
40,3,0,400,0.8329091229351039,False,1
40,4,200,60,0.8329091229351039,False,3
