Sequence,Series,Start,Duration,Amplitude,Smooth,Spikes
26,4,0,1000,0.4231676972548826,True,2
27,1,0,1000,0.4979287097567281,True,2
27,2,0,1000,0.9650164765432764,True,2
27,3,0,1000,0.7781659206107654,True,3
27,4,0,1000,0.5777206937612673,True,2
28,1,0,1000,0.3538267937847557,True,2
28,2,0,1000,0.9956643510741962,True,1
28,3,0,1000,0.8613340234775356,True,1
28,4,0,1000,0.4518174410090872,True,2
29,1,0,1000,0.43898610456368664,True,1
29,2,0,1000,1.0019675643452735,True,3
29,3,0,1000,0.8239770021062481,True,1
29,4,0,1000,0.53880488119541,True,1
30,1,0,1000,0.45017707627110465,True,1
30,2,0,1000,1.0498904704777543,True,1
30,3,0,1000,0.8537036956696392,True,1
30,4,0,1000,0.5407860020377746,True,1
31,1,0,1000,0.37500453330593214,True,1
31,2,0,1000,0.970051545022222,True,1
31,3,0,1000,0.7255333899966286,True,1
31,4,0,1000,0.4068074483093937,True,1
32,1,0,1000,0.5281325591175003,True,2
32,2,0,1000,0.9010263592148678,True,3
32,3,0,1000,0.8239770021062481,True,1
32,4,0,1000,0.5951312460289747,True,2
33,1,0,1000,0.43019135277222853,True,3
33,2,0,1000,1.0037908148613435,True,1
33,3,0,1000,0.7735836735609148,True,1
33,4,0,1000,0.5245406561935881,True,3
34,1,0,1000,0.5275168243762468,True,2
34,2,0,1000,0.9956819773401545,True,2
34,3,0,1000,0.8076618723203417,True,1
34,4,0,1000,0.5984582692218398,True,2
35,1,0,1000,0.33450889375321546,True,1
35,2,0,1000,1.0743891287610834,True,2
35,3,0,1000,0.7903702929640005,True,1
35,4,0,1000,0.40578035930784034,True,1
36,1,0,1000,0.4489204829365664,True,2
36,2,0,1000,1.0599018822513715,True,2
36,3,0,1000,0.86304727564601,True,2
36,4,0,1000,0.5248752232673971,True,2
37,1,0,1000,0.38888751587059206,True,2
37,2,0,1000,1.0499261878817958,True,2
37,3,0,1000,0.845217072709727,True,2
37,4,0,1000,0.43368744505692114,True,3
38,1,0,1000,0.5051638348100544,True,1
38,2,0,1000,1.033013552670051,True,1
38,3,0,1000,0.8859777649580152,True,3
38,4,0,1000,0.5736885914849623,True,1
39,1,0,1000,0.5898044591218347,True,1
39,2,0,1000,1.1539722700307837,True,1
39,3,0,1000,0.9823781858327271,True,2
39,4,0,1000,0.6482744017775189,True,1
40,1,0,1000,0.4958169016885165,True,3
40,2,0,1000,1.1148937169075803,True,1
40,3,0,1000,0.901535578887489,True,1
40,4,0,1000,0.5773591603153102,True,3
