Coalition,t (event index),Pruning,Shapley Value
Sum of contribution of events ≤ t,-92,0,0.13498725908249617
Sum of contribution of events > t,-93,0,0.0
Sum of contribution of events ≤ t,-93,0,0.13498725908249617
Sum of contribution of events > t,-94,0,0.0
Sum of contribution of events ≤ t,-94,0,0.13498725908249617
Sum of contribution of events > t,-95,0,0.0
Sum of contribution of events ≤ t,-95,0,0.13498725908249617
Sum of contribution of events > t,-96,0,0.0
Sum of contribution of events ≤ t,-96,0,0.13498725908249617
Sum of contribution of events > t,-97,0,0.0
Sum of contribution of events ≤ t,-97,0,0.13498725908249617
Sum of contribution of events > t,-98,0,0.0
Sum of contribution of events ≤ t,-98,0,0.13498725908249617
Sum of contribution of events > t,-99,0,0.0
Sum of contribution of events ≤ t,-99,0,0.13498725908249617
Sum of contribution of events > t,-100,0,0.0
Sum of contribution of events ≤ t,-100,0,0.13498725908249617
Sum of contribution of events > t,-101,0,0.0
Sum of contribution of events ≤ t,-101,0,0.13498725908249617
Sum of contribution of events > t,-102,0,0.0
Sum of contribution of events ≤ t,-102,0,0.13498725908249617
Sum of contribution of events > t,-103,0,0.0
Sum of contribution of events ≤ t,-103,0,0.13498725908249617
Sum of contribution of events > t,-104,0,0.0
Sum of contribution of events ≤ t,-104,0,0.13498725908249617
Sum of contribution of events > t,-105,0,0.0
Sum of contribution of events ≤ t,-105,0,0.13498725908249617
Sum of contribution of events > t,-106,0,0.0
Sum of contribution of events ≤ t,-106,0,0.13498725908249617
Sum of contribution of events > t,-107,0,0.0
Sum of contribution of events ≤ t,-107,0,0.13498725908249617
Sum of contribution of events > t,-108,0,0.0
Sum of contribution of events ≤ t,-108,0,0.13498725908249617
Sum of contribution of events > t,-109,0,0.0
Sum of contribution of events ≤ t,-109,0,0.13498725908249617
Sum of contribution of events > t,-110,0,0.0
Sum of contribution of events ≤ t,-110,0,0.13498725908249617
Sum of contribution of events > t,-111,0,0.0
Sum of contribution of events ≤ t,-111,0,0.13498725908249617
Sum of contribution of events > t,-112,0,0.0
Sum of contribution of events ≤ t,-112,0,0.13498725908249617
Sum of contribution of events > t,-113,0,0.0
Sum of contribution of events ≤ t,-113,0,0.13498725908249617
Sum of contribution of events > t,-114,0,0.0
Sum of contribution of events ≤ t,-114,0,0.13498725908249617
Sum of contribution of events > t,-115,0,0.0
Sum of contribution of events ≤ t,-115,0,0.13498725908249617
Sum of contribution of events > t,-116,0,0.0
Sum of contribution of events ≤ t,-116,0,0.13498725908249617
Sum of contribution of events > t,-117,0,0.0
Sum of contribution of events ≤ t,-117,0,0.13498725908249617
Sum of contribution of events > t,-118,0,0.0
Sum of contribution of events ≤ t,-118,0,0.13498725908249617
Sum of contribution of events > t,-119,0,0.0
Sum of contribution of events ≤ t,-119,0,0.13498725908249617
Sum of contribution of events > t,-120,0,0.0
Sum of contribution of events ≤ t,-120,0,0.13498725908249617
Sum of contribution of events > t,-121,0,0.0
Sum of contribution of events ≤ t,-121,0,0.13498725908249617
Sum of contribution of events > t,-122,0,0.0
Sum of contribution of events ≤ t,-122,0,0.13498725908249617
Sum of contribution of events > t,-123,0,0.0
Sum of contribution of events ≤ t,-123,0,0.13498725908249617
Sum of contribution of events > t,-124,0,0.0
Sum of contribution of events ≤ t,-124,0,0.13498725908249617
Sum of contribution of events > t,-125,0,0.0
Sum of contribution of events ≤ t,-125,0,0.13498725908249617
Sum of contribution of events > t,-126,0,0.0
Sum of contribution of events ≤ t,-126,0,0.13498725908249617
Sum of contribution of events > t,-127,0,0.0
Sum of contribution of events ≤ t,-127,0,0.13498725908249617
Sum of contribution of events > t,-128,0,0.0
Sum of contribution of events ≤ t,-128,0,0.13498725908249617
Sum of contribution of events > t,-129,0,0.0
Sum of contribution of events ≤ t,-129,0,0.13498725908249617
Sum of contribution of events > t,-130,0,0.0
Sum of contribution of events ≤ t,-130,0,0.13498725908249617
Sum of contribution of events > t,-131,0,0.0
Sum of contribution of events ≤ t,-131,0,0.13498725908249617
Sum of contribution of events > t,-132,0,0.0
Sum of contribution of events ≤ t,-132,0,0.13498725908249617
Sum of contribution of events > t,-133,0,0.0
Sum of contribution of events ≤ t,-133,0,0.13498725908249617
Sum of contribution of events > t,-134,0,0.0
Sum of contribution of events ≤ t,-134,0,0.13498725908249617
Sum of contribution of events > t,-135,0,0.0
Sum of contribution of events ≤ t,-135,0,0.13498725908249617
Sum of contribution of events > t,-136,0,0.0
Sum of contribution of events ≤ t,-136,0,0.13498725908249617
Sum of contribution of events > t,-137,0,0.0
Sum of contribution of events ≤ t,-137,0,0.13498725908249617
Sum of contribution of events > t,-138,0,0.0
Sum of contribution of events ≤ t,-138,0,0.13498725908249617
Sum of contribution of events > t,-139,0,0.0
Sum of contribution of events ≤ t,-139,0,0.13498725908249617
Sum of contribution of events > t,-140,0,0.0
Sum of contribution of events ≤ t,-140,0,0.13498725908249617
Sum of contribution of events > t,-141,0,0.0
Sum of contribution of events ≤ t,-141,0,0.13498725908249617
Sum of contribution of events > t,-142,0,0.0
Sum of contribution of events ≤ t,-142,0,0.13498725908249617
Sum of contribution of events > t,-143,0,0.0
Sum of contribution of events ≤ t,-143,0,0.13498725908249617
Sum of contribution of events > t,-144,0,0.0
Sum of contribution of events ≤ t,-144,0,0.13498725908249617
Sum of contribution of events > t,-145,0,0.0
Sum of contribution of events ≤ t,-145,0,0.13498725908249617
Sum of contribution of events > t,-146,0,0.0
Sum of contribution of events ≤ t,-146,0,0.13498725908249617
Sum of contribution of events > t,-147,0,0.0
Sum of contribution of events ≤ t,-147,0,0.13498725908249617
Sum of contribution of events > t,-148,0,0.0
Sum of contribution of events ≤ t,-148,0,0.13498725908249617
Sum of contribution of events > t,-149,0,0.0
Sum of contribution of events ≤ t,-149,0,0.13498725908249617
Sum of contribution of events > t,-150,0,0.0
Sum of contribution of events ≤ t,-150,0,0.13498725908249617
Sum of contribution of events > t,-151,0,0.0
Sum of contribution of events ≤ t,-151,0,0.13498725908249617
Sum of contribution of events > t,-152,0,0.0
Sum of contribution of events ≤ t,-152,0,0.13498725908249617
Sum of contribution of events > t,-153,0,0.0
Sum of contribution of events ≤ t,-153,0,0.13498725908249617
Sum of contribution of events > t,-154,0,0.0
Sum of contribution of events ≤ t,-154,0,0.13498725908249617
Sum of contribution of events > t,-155,0,0.0
Sum of contribution of events ≤ t,-155,0,0.13498725908249617
Sum of contribution of events > t,-156,0,0.0
Sum of contribution of events ≤ t,-156,0,0.13498725908249617
Sum of contribution of events > t,-157,0,0.0
Sum of contribution of events ≤ t,-157,0,0.13498725908249617
Sum of contribution of events > t,-158,0,0.0
Sum of contribution of events ≤ t,-158,0,0.13498725908249617
Sum of contribution of events > t,-159,0,0.0
Sum of contribution of events ≤ t,-159,0,0.13498725908249617
Sum of contribution of events > t,-160,0,0.0
Sum of contribution of events ≤ t,-160,0,0.13498725908249617
Sum of contribution of events > t,-161,0,0.0
Sum of contribution of events ≤ t,-161,0,0.13498725908249617
Sum of contribution of events > t,-162,0,0.0
Sum of contribution of events ≤ t,-162,0,0.13498725908249617
Sum of contribution of events > t,-163,0,0.0
Sum of contribution of events ≤ t,-163,0,0.13498725908249617
Sum of contribution of events > t,-164,0,0.0
Sum of contribution of events ≤ t,-164,0,0.13498725908249617
Sum of contribution of events > t,-165,0,0.0
Sum of contribution of events ≤ t,-165,0,0.13498725908249617
Sum of contribution of events > t,-166,0,0.0
Sum of contribution of events ≤ t,-166,0,0.13498725908249617
Sum of contribution of events > t,-167,0,0.0
